mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
sea ranch,hamlet,1391,"Sea Ranch, Sonoma County, California, United States of America","anaheim_and_santa cruz.json,beverly hills_and_sausalito.json,avalon_and_santa cruz.json,beverly hills_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_santa cruz.json,carlsbad_and_santa cruz.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,irvine_and_monterey.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_san jose.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,long beach_and_mammoth lakes.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_santa cruz.json,malibu_and_mammoth lakes.json,napa_and_pismo beach.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,oakland_and_santa monica.json,pasadena_and_sausalito.json,pismo beach_and_san jose.json,pismo beach_and_santa cruz.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san diego_and_santa cruz.json,san francisco_and_santa monica.json,san jose_and_santa barbara.json,san jose_and_santa monica.json,santa ana_and_sausalito.json,santa barbara_and_santa cruz.json,santa cruz_and_santa monica.json"
paradise cove,residential,404,"Paradise Cove, El Campo, Marin County, California, 94920, United States of America","beverly hills_and_sausalito.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_santa cruz.json,huntington beach_and_mammoth lakes.json,long beach_and_mammoth lakes.json,malibu_and_mammoth lakes.json,mammoth lakes_and_santa monica.json,san bernardino_and_sausalito.json"
mendon,residential,31,"Mendon Place, Chatsworth, LA, Los Angeles County, California, 91311, United States of America",berkeley_and_newport beach.json
santa cruz small craft harbor,marina,56,"Santa Cruz Small Craft Harbor, Murray Street, East Morrissey, Seabright, Santa Cruz, Santa Cruz County, California, 95062, United States of America","fremont_and_santa cruz.json,san jose_and_santa cruz.json"
cloudcroft,residential,22,"Cloudcroft Court, Placer County, California, United States of America",carlsbad_and_napa.json
caesar,residential,26,"Caesar, Clovis, Fresno County, California, 93611, United States of America",fremont_and_san diego.json
south lake tahoe,city,5165,"South Lake Tahoe, El Dorado County, California, United States of America","anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_san jose.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_fresno.json,avalon_and_mammoth lakes.json,avalon_and_oakland.json,avalon_and_sacramento.json,anaheim_and_napa.json,avalon_and_sausalito.json,bakersfield_and_napa.json,bakersfield_and_oakland.json,bakersfield_and_sacramento.json,bakersfield_and_santa cruz.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_mammoth lakes.json,berkeley_and_newport beach.json,berkeley_and_san luis obispo.json,berkeley_and_santa barbara.json,berkeley_and_santa monica.json,berkeley_and_temecula.json,berkeley_and_big bear lake.json,berkeley_and_carlsbad.json,berkeley_and_fresno.json,berkeley_and_huntington beach.json,berkeley_and_irvine.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_sacramento.json,beverly hills_and_san jose.json,big bear lake_and_mammoth lakes.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_sacramento.json,big bear lake_and_san jose.json,big bear lake_and_santa cruz.json,big bear lake_and_sausalito.json,carlsbad_and_fresno.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_santa cruz.json,carlsbad_and_stockton.json,fremont_and_huntington beach.json,fremont_and_newport beach.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa monica.json,fresno_and_sausalito.json,fresno_and_stockton.json,fresno_and_temecula.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,irvine_and_mammoth lakes.json,irvine_and_monterey.json,irvine_and_napa.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_santa cruz.json,irvine_and_sausalito.json,long beach_and_sacramento.json,long beach_and_san jose.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,los angeles_and_oakland.json,los angeles_and_sacramento.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_napa.json,malibu_and_sacramento.json,malibu_and_sausalito.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_santa barbara.json,monterey_and_stockton.json,monterey_and_temecula.json,napa_and_pasadena.json,napa_and_santa barbara.json,napa_and_santa monica.json,los angeles_and_santa cruz.json,mammoth lakes_and_sausalito.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_santa cruz.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_sacramento.json,pasadena_and_san jose.json,pasadena_and_santa cruz.json,pasadena_and_sausalito.json,pismo beach_and_sacramento.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa cruz.json,sacramento_and_santa monica.json,sacramento_and_temecula.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,oakland_and_temecula.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,san jose_and_temecula.json,san luis obispo_and_sausalito.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json,santa monica_and_sausalito.json,stockton_and_temecula.json"
aviara resort,hotel,24,"Park Hyatt Aviara Resort, 7100, Blue Heron Place, Carlsbad, San Diego County, California, 92011, United States of America",carlsbad_and_irvine.json
sharktooth hill,stream,27,"Sharktooth Creek, Fresno County, California, United States of America",bakersfield_and_fresno.json
cabazon,administrative,59,"Cabazon, Cabazon Street, Cabazon, Riverside County, California, 92230, United States of America","carlsbad_and_sacramento.json,los angeles_and_riverside.json"
n. lake ave.,secondary,27,"North Lake Avenue, Pasadena, Los Angeles County, California, 91101, United States of America",pasadena_and_sausalito.json
tiburon lodge,hotel,29,"The Lodge at Tiburon, 1651, Tiburon Boulevard, Tiburon, Marin County, California, 94920, United States of America",long beach_and_sausalito.json
mallard bay,residential,316,"Mallard Street, Encanto, San Diego, San Diego County, California, 92114, United States of America","avalon_and_big bear lake.json,bakersfield_and_big bear lake.json,berkeley_and_big bear lake.json,big bear lake_and_fremont.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_san diego.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json"
alum rock park,park,108,"Alum Rock Park, North Rim Trail, Alum Rock, San José, Santa Clara County, California, 95127, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
pittsford park,park,167,"Pittsford Park, Ives Way, San Rita, Foothill Ranch, Lake Forest, Orange County, California, 92630, United States of America","bakersfield_and_big bear lake.json,big bear lake_and_los angeles.json,big bear lake_and_pasadena.json,big bear lake_and_santa monica.json,los angeles_and_stockton.json"
fairplex,secondary,122,"Fairplex Drive, Pomona, Los Angeles County, California, 91750, United States of America","bakersfield_and_long beach.json,fresno_and_san bernardino.json,long beach_and_oakland.json,oakland_and_san bernardino.json"
delano municipal airport,aerodrome,127,"Delano Municipal Airport, Woollomes Avenue, Delano, Kern County, California, 93215, United States of America","bakersfield_and_fresno.json,bakersfield_and_long beach.json,bakersfield_and_pismo beach.json,bakersfield_and_san francisco.json"
santa monica stairs,steps,70,"Santa Monica Stairs, Riviera, LA, Los Angeles County, California, 90402, United States of America","los angeles_and_santa monica.json,san bernardino_and_santa monica.json"
pasadena avenue,secondary,138,"Pasadena Avenue, Dayton Avenue, Highland Park, LA, Los Angeles County, California, 90031, United States of America","big bear lake_and_santa clarita.json,long beach_and_riverside.json,mammoth lakes_and_san luis obispo.json,newport beach_and_riverside.json"
bolinas,hamlet,374,"Bolinas, Marin County, California, United States of America","mammoth lakes_and_monterey.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,oakland_and_sausalito.json,riverside_and_sausalito.json,sacramento_and_sausalito.json,san diego_and_sausalito.json,san jose_and_sausalito.json,santa cruz_and_sausalito.json"
jalama beach,tertiary,519,"Jalama Beach Road, Jalama, Santa Barbara County, California, United States of America","beverly hills_and_pismo beach.json,carlsbad_and_santa barbara.json,fremont_and_santa barbara.json,huntington beach_and_santa barbara.json,malibu_and_santa barbara.json,monterey_and_san diego.json,long beach_and_santa barbara.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,sacramento_and_santa barbara.json,san bernardino_and_santa barbara.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json"
sheraton san jose downtown,hotel,26,"Four Points by Sheraton San Jose Downtown, 211, South 1st Street, Historic District, Japantown, San José, Santa Clara County, California, 95113, United States of America",san jose_and_stockton.json
central park ave,residential,26,"Central Park Avenue, Lower Peters Canyon, Irvine, Orange County, California, 92602, United States of America",fremont_and_santa ana.json
hearst-san simeon state park,park,34,"Hearst San Simeon State Park, San Simeon State Park, Leimert, San Luis Obispo County, California, 93428, United States of America",san luis obispo_and_santa ana.json
manhattan beach pier,pedestrian,36,"Manhattan Beach Pier, Manhattan Beach, Los Angeles County, California, 90266, United States of America",san bernardino_and_santa monica.json
sitka,residential,62,"Sitka Street, Sacramento, Sacramento County, California, 95838, United States of America","big bear lake_and_stockton.json,fremont_and_newport beach.json"
el cerrito,administrative,88,"El Cerrito, Quebec Avenue, El Cerrito, Pepper Corner, Riverside County, California, 92881, United States of America","berkeley_and_los angeles.json,berkeley_and_pasadena.json,berkeley_and_beverly hills.json"
