"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"castaic lake","water","6","""Castaic Lake, Castaic Reservoir Road, Los Angeles County, California, United States of America""","","-118.587025025849","34.5406179","26","""anaheim_and_santa clarita.json,avalon_and_santa clarita.json,bakersfield_and_santa clarita.json,berkeley_and_santa clarita.json,beverly hills_and_fresno.json,beverly hills_and_santa clarita.json,big bear lake_and_santa clarita.json,carlsbad_and_santa clarita.json,carlsbad_and_santa monica.json,fremont_and_santa clarita.json,fresno_and_santa clarita.json,long beach_and_santa clarita.json,mammoth lakes_and_santa clarita.json,napa_and_santa clarita.json,malibu_and_santa clarita.json,oakland_and_santa clarita.json,pasadena_and_santa clarita.json,pismo beach_and_santa clarita.json,riverside_and_santa clarita.json,san diego_and_santa clarita.json,san francisco_and_santa clarita.json,santa ana_and_santa clarita.json,santa clarita_and_sausalito.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json""","Castaic Lake","","We love to walk the dog on weekends around the lake. If you park outside then there is no price to go in. Makes you feel like you are on a vacation.","1","17","+1 661-257-4050","Castaic","""31540 Ridge Route Rd , Castaic , CA 91384-3358""","31540","","","https://www.tripadvisor.com/Attraction_Review-g32182-d4021883-Reviews-Castaic_Lake-Castaic_California.html","castaic.json","""axqm1zwRtr8,AiCCaWa-RwA,APAdsfFaPlo""","100"
"la mirada theatre","arts_centre","1","""La Mirada Theatre For The Performing Arts, La Mirada Boulevard, La Mirada, Los Angeles County, California, 90638, United States of America""","90638","-118.0097221","33.8966667","24","""irvine_and_los angeles.json,irvine_and_riverside.json,irvine_and_san jose.json,irvine_and_santa clarita.json,irvine_and_santa cruz.json,los angeles_and_riverside.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,los angeles_and_stockton.json,los angeles_and_santa cruz.json,pasadena_and_riverside.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san diego_and_santa ana.json,san diego_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json""","La Mirada Theatre","","""The La Mirada Theatre is the best place to go to see plays, musicals, and any specials theatrical event. There are no bad seats in the theatre. Also, what I enjoy is to have Mr... read more""","2","21","+1 562-944-9801","La Mirada","""14900 La Mirada Blvd , La Mirada , CA 90638-4752""","14900","","","https://www.tripadvisor.com/Attraction_Review-g32580-d4084961-Reviews-La_Mirada_Theatre-La_Mirada_California.html","la_mirada.json","""LxMDIhmAM_w,1XlZaIlMnTY""","100"
"posey tube","trunk","1","""Posey Tube, Alameda, Alameda County, California, 94501, United States of America""","94501","-122.2763849","37.7886587","1","san diego_and_sausalito.json","Posey Tube","","""This is the northern route from Alameda to Oakland. Not an attraction to stop at, although my boys loved the idea that is was a tunnel and not a bridge over the water.""","8","30","","Alameda","""Posey and Webester Street , Alameda , CA 94502""","94502","","","https://www.tripadvisor.com/Attraction_Review-g29073-d6893412-Reviews-Posey_Tube-Alameda_California.html","alameda.json","""VEmTvlSC4U0,aH_Oux_K6p8,9dhpwW0Ikl4""","100"
"stevenson ranch","secondary","2","""Stevenson Ranch Parkway, Valencia, Los Angeles County, California, 91381, United States of America""","91381","-118.5843793","34.3804077","5","""beverly hills_and_santa clarita.json,long beach_and_santa clarita.json,los angeles_and_santa clarita.json,pasadena_and_santa clarita.json,santa clarita_and_santa monica.json""","Stevinson Ranch","","I learned this course was closing in July and wanted to play it before the doors are shut for good. The course was in outstanding shape. Green fairways and well cared for... read more","1","13","209-668-8200","Stevinson","""2700 Van Clief Rd , Stevinson , CA 95374-9619""","95374","","","https://www.tripadvisor.com/Attraction_Review-g33126-d103085-Reviews-Stevinson_Ranch-Stevinson_California.html","stevinson.json","""yB4i3R2TZq0,E0fbZNM2590,E310WvwqJeI""","100"
"qualcomm stadium","station","1","""Qualcomm Stadium, Qualcomm Way, Mission Valley, San Diego, San Diego County, California, 92123, United States of America""","92123","-117.1196206","32.7810139","17","""anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json""","Qualcomm Stadium","","Went to the Bronco / Charger game. Sat in the View section 22. Seats were good except don't get the first 8 rows. The handicap seats on the deck when occupied eliminate your view... read more","108","259","+1 619-641-3100","San Diego","""9449 Friars Rd , San Diego , CA 92108-1718""","92108","","","https://www.tripadvisor.com/Attraction_Review-g60750-d557360-Reviews-Qualcomm_Stadium-San_Diego_California.html","san_diego.json","""Plti96se1oI,oLKa0l59Fvc,IsKzBUjtON4""","100"
"third street promenade","pedestrian","13","""Third Street Promenade, Santa Monica, Los Angeles County, California, 90401, United States of America""","90401","-118.496879184169","34.01632465","43","""anaheim_and_los angeles.json,anaheim_and_santa clarita.json,anaheim_and_napa.json,anaheim_and_santa monica.json,beverly hills_and_carlsbad.json,avalon_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_irvine.json,beverly hills_and_long beach.json,beverly hills_and_los angeles.json,beverly hills_and_pasadena.json,beverly hills_and_san diego.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa clarita.json,beverly hills_and_santa monica.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_santa monica.json,irvine_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_napa.json,los angeles_and_santa monica.json,los angeles_and_temecula.json,malibu_and_santa monica.json,monterey_and_temecula.json,napa_and_san luis obispo.json,napa_and_santa monica.json,malibu_and_santa clarita.json,napa_and_temecula.json,oakland_and_san luis obispo.json,riverside_and_santa monica.json,sacramento_and_san luis obispo.json,sacramento_and_temecula.json,san francisco_and_temecula.json,san jose_and_santa monica.json,san jose_and_temecula.json,san luis obispo_and_santa monica.json,san luis obispo_and_temecula.json,santa barbara_and_temecula.json,santa cruz_and_temecula.json,santa monica_and_stockton.json,santa monica_and_temecula.json,sausalito_and_temecula.json""","Third Street Promenade","""Neighborhood: Santa Monica Shopping Malls , Points of Interest & Landmarks , Theaters , Sights & Landmarks , Shopping , Concerts & Shows , More""","""Always busy and bustling with crowds of people and echoing with the sounds of street entertainers. Food court, independent stores, chain stories, theaters, and at the end of it... read more""","3","""4,149""","310-393-8355","Santa Monica","""Third Street between Wilshire Boulevard and Broadway , Santa Monica , CA 90401""","90401","","","https://www.tripadvisor.com/Attraction_Review-g33052-d103427-Reviews-Third_Street_Promenade-Santa_Monica_California.html","santa_monica.json","""xRZi3R6X1JE,hDxqj7CWUYE,p9k-MiURzdI""","100"
"mackerricher state park","park","7","""MacKerricher State Park, Mackerricher State Park Road, Cleone, Mendocino County, California, 95437, United States of America""","95437","-123.7936267","39.4932207","8","""fresno_and_oakland.json,huntington beach_and_sacramento.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,mammoth lakes_and_temecula.json,riverside_and_san francisco.json,newport beach_and_sausalito.json""","MacKerricher State Park","""State Parks , Nature & Parks""","""We went with my son's class in the evening. We went straight to the tidepools so didn't see much else, but the tidepools we excellent.""","2","561","(707) 964-9112","Fort Bragg","""MacKerricher State Park Road , Fort Bragg , CA 95437""","95437","-123.8085768","39.4563896","https://www.tripadvisor.com/Attraction_Review-g32400-d103759-Reviews-MacKerricher_State_Park-Fort_Bragg_Mendocino_County_California.html","fort_bragg.json","""KNnafPigLuM,3pEtBWpPA9E,8jXVeINrINg""","100"
"bidwell park","park","1","""Bidwell Park, South Park Drive, Chico, Butte County, California, 95928, United States of America""","95928","-121.810900561671","39.7457045","1","malibu_and_sausalito.json","Bidwell Park","Nature & Parks","""The park basically covers the watershed of Chico creek. The lower Bidwell park is a nice city park with beautiful trees, shady trails, bridges over the creek, easy walking - nice... read more""","1","344","+1 530-896-7800","Chico","""965 Fir St , Chico , CA 95928-6301""","95928","","","https://www.tripadvisor.com/Attraction_Review-g32201-d273469-Reviews-Bidwell_Park-Chico_California.html","chico.json","""TMpK7eIqDKw,_T6J8Ok8V_s,kyd6R15r1nM""","100"
"sonoma plaza","park","3","""Sonoma Plaza, East Spain Street, Sonoma, Sonoma County, California, 95476, United States of America""","95476","-122.457635310247","38.29304285","16","""beverly hills_and_sausalito.json,berkeley_and_sacramento.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_santa cruz.json,huntington beach_and_mammoth lakes.json,long beach_and_mammoth lakes.json,malibu_and_mammoth lakes.json,mammoth lakes_and_santa monica.json,oakland_and_sacramento.json,pismo beach_and_sausalito.json,san bernardino_and_sausalito.json,san diego_and_sausalito.json""","Sonoma Plaza","""Points of Interest & Landmarks , Sights & Landmarks , Nature & Parks""","""This was the stop on the winery tour. We were given over an hour to walk around and explore on our own. We did walk all around the square, which has a lovely park in the middle... read more""","3","648","+1 707-996-1090","Sonoma","""Spain Street Between First Street East and First Street West , Sonoma , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g33107-d156885-Reviews-Sonoma_Plaza-Sonoma_Sonoma_County_California.html","sonoma.json","""LwNYf7cQgpM,9YYOwre5c48,3ihBo9PL9XY""","100"
"chumash painted cave state historic park","park","1","""Chumash Painted Cave State Historic Park, Painted Cave Road, Santa Barbara County, California, 93105, United States of America""","93105","-119.787899178607","34.50362265","30","""avalon_and_santa cruz.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,fremont_and_santa barbara.json,fresno_and_santa barbara.json,long beach_and_santa cruz.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_santa barbara.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,riverside_and_santa barbara.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_temecula.json,santa cruz_and_santa monica.json""","Chumash Painted Cave State Historic Park","","""The painted cave is the chief attraction of this teeny weeny state park. The paintings are vivid, surprisingly so, and kept behind bars so modern mouth-breathers don’t add new... read more""","68","46","+1 805-733-3713","Santa Barbara","""Painted Caves Road , Santa Barbara , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g33045-d320712-Reviews-Chumash_Painted_Cave_State_Historic_Park-Santa_Barbara_California.html","santa_barbara.json","""GAlSsrq0hv0,MQzNd_iczRI,cEDPUuqe7yY""","100"
"lafayette reservoir","reservoir","1","""Lafayette Reservoir, Sunset Trail, Lafayette, Contra Costa County, California, 94706, United States of America""","94706","-122.1388541","37.8843694","1","berkeley_and_fremont.json","Lafayette Reservoir","""Nature & Wildlife Areas , Hiking Trails , Outdoor Activities , Nature & Parks""","""A perfect spot and perfect route around the reservoir for anyone who needs a fresh air break, a cool jog in the breeeze, a relaxing time with trees and sky and water...""","1","178","","Lafayette","""3849 Mount Diablo Blvd , Lafayette , CA""","","-122.136282251582","37.8877099320177","https://www.tripadvisor.com/Attraction_Review-g32587-d2627004-Reviews-Lafayette_Reservoir-Lafayette_California.html","lafayette.json","""cV9_tys0Y8w,fr6syrw-OsQ,smFFqhFuW_I""","100"
"mission san juan capistrano","place_of_worship","13","""Mission San Juan Capistrano, El Camino Real, San Juan Capistrano, Orange County, California, 92675, United States of America""","92675","-117.663061669391","33.50381465","44","""anaheim_and_riverside.json,anaheim_and_san bernardino.json,avalon_and_big bear lake.json,avalon_and_malibu.json,beverly hills_and_pismo beach.json,bakersfield_and_newport beach.json,berkeley_and_newport beach.json,beverly hills_and_big bear lake.json,beverly hills_and_temecula.json,big bear lake_and_long beach.json,carlsbad_and_santa ana.json,carlsbad_and_santa barbara.json,fremont_and_newport beach.json,fremont_and_santa ana.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_san bernardino.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa clarita.json,irvine_and_long beach.json,irvine_and_san diego.json,carlsbad_and_san luis obispo.json,long beach_and_riverside.json,long beach_and_malibu.json,los angeles_and_santa ana.json,monterey_and_san diego.json,newport beach_and_oakland.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,oakland_and_riverside.json,oakland_and_santa ana.json,pasadena_and_santa ana.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san diego_and_santa ana.json,san francisco_and_santa ana.json,riverside_and_santa ana.json,san luis obispo_and_santa clarita.json,santa ana_and_stockton.json""","Mission San Juan Capistrano","""Specialty Museums , Museums""","I have the swallows tattooed on me and I love their meaning! So it was really cool when I got to visit this mission and learn more about the history. I understand why the swallows... read more","1","""1,037""","+1 949-234-1300","San Juan Capistrano","""26801 Ortega Hwy , San Juan Capistrano , CA 92675-2601""","26801","","","https://www.tripadvisor.com/Attraction_Review-g33022-d127321-Reviews-Mission_San_Juan_Capistrano-San_Juan_Capistrano_California.html","san_juan_capistrano.json","""8ZoKU3bHYJo,FIdT6MrgZzM,zSBndldl-RA""","100"
