attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
Peninsula Museum of Art,,"We had some time to spare in Burlingame and discovered this local museum. The exhibits were interesting, and what makes this special is that local artists have studios here and... read more",6,9,+(1)650-692-2101,Burlingame,"1777 California Dr , Burlingame , CA 94010-3201",,,https://www.tripadvisor.com/Attraction_Review-g32124-d7287506-Reviews-Peninsula_Museum_of_Art-Burlingame_California.html,burlingame.json
It's It Ice Cream Factory,,Just an all around whiz bang great ice cream outlet that has a TON of ice cream sandwiches and a great crew to boot.,5,11,(650) 347-2122,Burlingame,"865 Burlway Rd , Burlingame , CA 94010-1705",,,https://www.tripadvisor.com/Attraction_Review-g32124-d7999862-Reviews-It_s_It_Ice_Cream_Factory-Burlingame_California.html,burlingame.json
The San Mateo Japanese Garden,"Gardens , Nature & Parks",This little spot has been around for decades. Perfect for a quiet slow walk. Meet an old friend. Take a young child to see the Koi. Always an artist or photographer. Great for... read more,1,136,+1 415-377-4700,San Mateo,"Fifth Ave. , San Mateo , CA",,,https://www.tripadvisor.com/Attraction_Review-g33031-d145181-Reviews-The_San_Mateo_Japanese_Garden-San_Mateo_California.html,san_mateo.json
100% Pure,,,51,,650.821.0145,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Near Gate 74 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489475-Reviews-100_Pure-South_San_Francisco_California.html,south_san_francisco.json
Burlingame Museum of Pez Memorabilia,,"Don't expect a big museum, or a long wait. This place is pretty small (the store is out front), the museum just a big room in the back. But they have tons of Pez dispensers, and I... read more",1,40,+1 650-347-2301,Burlingame,"214 California Dr , Burlingame , CA 94010-4113",,,https://www.tripadvisor.com/Attraction_Review-g32124-d265152-Reviews-Burlingame_Museum_of_Pez_Memorabilia-Burlingame_California.html,burlingame.json
Clubhouse Bistro,,"Staying at the Crowne for business and came down to the bar for beer and a sandwich. Good sized bar with a large main bar, booths, and tables plus a couple of private areas if... read more",2,22,+1 650-570-5700,Foster City,"1221 Chess Dr , inside the Crowne Plaza , Foster City , CA 94404-1173",,,https://www.tripadvisor.com/Attraction_Review-g32405-d1036741-Reviews-Clubhouse_Bistro-Foster_City_California.html,foster_city.json
Sawyer Camp Trail,"Hiking Trails , Outdoor Activities , Nature & Parks",We ride our bikes several times a week on Sawyer Camp trail. The views of the Crystal Springs reservoir are spectacular. They have been renovating for years - sure wish they... read more,3,77,,San Mateo,"San Mateo , CA",-122.3330572,37.496904,https://www.tripadvisor.com/Attraction_Review-g33031-d146953-Reviews-Sawyer_Camp_Trail-San_Mateo_California.html,san_mateo.json
Seal Point Park,,Stopped in the eat our lunch. Nice little park atop an old dump but hey good view of the bay and it's free.,7,15,,San Mateo,"1901 J Hart Clinton Dr , San Mateo , CA 94401",-122.3113767,37.5732308,https://www.tripadvisor.com/Attraction_Review-g33031-d8568910-Reviews-Seal_Point_Park-San_Mateo_California.html,san_mateo.json
Central Park,Nature & Parks,We loved this park. Walking along this inlet from the San Francisco Bay was relaxing. We ate lunch by the water and then rented kayaks and paddled all around. It is bigger than we... read more,5,49,+1 650-522-7440,San Mateo,"50 E 5th Ave , San Mateo , CA 94401-4107",,,https://www.tripadvisor.com/Attraction_Review-g33031-d3665249-Reviews-Central_Park-San_Mateo_California.html,san_mateo.json
Oceanic Foot Spa,,"feels fake, not enough massage of your feet but more on your arms and legs and they tell you how much to tip.",3,15,+1 650-200-0939,Foster City,"939H Edgewater Boulevard , Foster City , CA 94404",-122.2774246,37.5544651,https://www.tripadvisor.com/Attraction_Review-g32405-d3385184-Reviews-Oceanic_Foot_Spa-Foster_City_California.html,foster_city.json
CuriOdyssey,"Science Museums , Specialty Museums , Museums","Lots of hands on stuff for the young ones to manipulate, and also a small selection of animals. We saw the otters being fed when we were there; very cute!",4,67,+1 650-342-7755,San Mateo,"1651 Coyote Point Dr , San Mateo , CA 94401-1002",,,https://www.tripadvisor.com/Attraction_Review-g33031-d617500-Reviews-CuriOdyssey-San_Mateo_California.html,san_mateo.json
Hiller Aviation Museum,"Specialty Museums , Museums",Great place to walk through the history and possible the future of aviation. I love the large plane mock up they have in the back. And I love that many of the planes you can... read more,1,132,+1 650-654-0200,San Carlos,"601 Skyway Rd , San Carlos , CA 94070-2702",,,https://www.tripadvisor.com/Attraction_Review-g33011-d617498-Reviews-Hiller_Aviation_Museum-San_Carlos_California.html,san_carlos.json
Saint James Gate,,"This is the place if you like watching Harley Davidson bikers playing with young kids, fine beer, excellent liquor, noise enormous, movement endless and as many ethnic groups as... read more",1,6,+1 650-592-5923,Belmont,"1410 Old County Rd , Belmont , CA 94002-3928",,,https://www.tripadvisor.com/Attraction_Review-g32060-d5844244-Reviews-Saint_James_Gate-Belmont_California.html,belmont.json
Hillsdale Shopping Center,,"There is extensive remodeling going on at the shopping center so many eateries have been demolished, as well as Sears. However, the center has lots of stores open to the public... read more",6,34,(650) 345-8222,San Mateo,"60 31st Ave , San Mateo , CA 94403-3404",,,https://www.tripadvisor.com/Attraction_Review-g33031-d9462993-Reviews-Hillsdale_Shopping_Center-San_Mateo_California.html,san_mateo.json
Filoli,"Historic Sites , Gardens , Sights & Landmarks , Nature & Parks","Filoli stands for ""Fight,"" ""Love,"" and ""Life"". The stately mansion is huge. One can imagine being an invited guest back in the early 1900s. And the gardens are vast and... read more",1,308,+1 650-364-8300,Woodside,"86 Canada Rd , Woodside , CA 94062-4144",,,https://www.tripadvisor.com/Attraction_Review-g33292-d113585-Reviews-Filoli-Woodside_California.html,woodside.json
Computer History Museum,"History Museums , Museums",I moved from Silicon Valley to Sacramento in 1999 then to New Mexico in 2005...so to finally get to go see this museum knowing my husband spent his working years in the computer... read more,1,522,+1 650-810-1010,Mountain View,"1401 N Shoreline Blvd , Mountain View , CA 94043-1311",,,https://www.tripadvisor.com/Attraction_Review-g32761-d592581-Reviews-Computer_History_Museum-Mountain_View_California.html,mountain_view.json
Municipal Rose Garden,"Gardens , Nature & Parks",This rose garden is one of the best. Close to the airport and downtown. Nice quiet park in town. I've visited it multiple times. It's always clean and in bloom. There's never a... read more,1,301,+1 408-794-7274,San Jose,"Naglee Avenue & Dana Ave , San Jose , CA 95216",,,https://www.tripadvisor.com/Attraction_Review-g33020-d2196604-Reviews-Municipal_Rose_Garden-San_Jose_California.html,san_jose.json
Shoreline Amphitheatre,,We enjoyed the latest Bridge School Benefit Concert at Shoreline. The sound system provided a well-mixed concert experience once the volume was turned up. Beer prices were... read more,6,119,+1 650-967-4040,Mountain View,"1 Amphitheatre Pkwy , Mountain View , CA 94043-1326",,,https://www.tripadvisor.com/Attraction_Review-g32761-d3213057-Reviews-Shoreline_Amphitheatre-Mountain_View_California.html,mountain_view.json
Laurelwood Park,,"We have taken our grandchildren to this park several times and have found it to be perfect for a picnic, great playground, and an adjacent hiking trail that our grandson loves to... read more",8,14,+1 650-522-7400,San Mateo,"3471 Glendora Dr , San Mateo , CA 94403-3945",,,https://www.tripadvisor.com/Attraction_Review-g33031-d8106112-Reviews-Laurelwood_Park-San_Mateo_California.html,san_mateo.json
Center for Spiritual Enlightenment,,"This is the place for exploring the spiritual pracices that arte common in many religions, search for the core truths of most religions, peace, and compassion are the hallmarks of... read more",52,5,+1 408-283-0221,San Jose,"1146 University Ave , San Jose , CA 95126-1736",,,https://www.tripadvisor.com/Attraction_Review-g33020-d5030632-Reviews-Center_for_Spiritual_Enlightenment-San_Jose_California.html,san_jose.json
J. Lohr Vineyards & Wines,"Wineries & Vineyards , Food & Drink","Free wine tasting, very good wines. Nice friendly atmosphere. On Fridays, they do private cheese and wine tasting party, very fun!",13,74,+1 408-288-5057,San Jose,"1000 Lenzen Ave , San Jose , CA 95126-2739",,,https://www.tripadvisor.com/Attraction_Review-g33020-d561258-Reviews-J_Lohr_Vineyards_Wines-San_Jose_California.html,san_jose.json
Santa Clara University,"Educational sites , Sights & Landmarks","Not only does Santa Clara University have a beautiful campus, it also houses the Santa Clara Mission, which is well worth the trip. At El Camino and The Alameda across from the... read more",5,63,+1 408-554-4000,Santa Clara,"500 El Camino Real , Santa Clara , CA 95053-0001",,,https://www.tripadvisor.com/Attraction_Review-g33046-d123156-Reviews-Santa_Clara_University-Santa_Clara_California.html,santa_clara.json
SAP Center,"Arenas & Stadiums , Sights & Landmarks",Attend Barracuda games at the SAP Center. The center is well situated with plenty of places to eat within walking distance. There are also plenty of places to park both on-street... read more,7,421,+1 408-287-7070,San Jose,"525 W Santa Clara St , San Jose , CA 95113-1520 (Formerly HP Pavilion)",,,https://www.tripadvisor.com/Attraction_Review-g33020-d531937-Reviews-SAP_Center-San_Jose_California.html,san_jose.json
Moffett Field Historical Society Museum,,My husband retired from Moffett 26 years ago and loved it. He enjoyed seeing all the displays and telling me about the various things he had done. The volunteers were full of... read more,7,33,+1 650-964-4024,Mountain View,"Severyns Ave., Building 126 , Mountain View , CA 94035-0016",,,https://www.tripadvisor.com/Attraction_Review-g32761-d4559456-Reviews-Moffett_Field_Historical_Society_Museum-Mountain_View_California.html,mountain_view.json
Bay Trail,,"I've been biking this trail (infrequently) for years. Recently, it was refurbished and is in good shape. It connects with the awesome Stevens Creek Trail of Mountain View as you... read more",12,5,,Mountain View,"Mountain View , CA",-122.0820499,37.3855745,https://www.tripadvisor.com/Attraction_Review-g32761-d10055765-Reviews-Bay_Trail-Mountain_View_California.html,mountain_view.json
De Saisset Museum,,"Free and hours are usually 11 thru 5 Closed for maintenance, repairs and updating Building is quite attractive Will reopen April 8 Seems kinda small but understand it has... read more",18,9,+1 408-554-4528,Santa Clara,"500 El Camino Real , Santa Clara University , Santa Clara , CA 95053-0001",,,https://www.tripadvisor.com/Attraction_Review-g33046-d123155-Reviews-De_Saisset_Museum-Santa_Clara_California.html,santa_clara.json
Cathedral Basilica of St. Joseph,"Churches & Cathedrals , Sights & Landmarks","It is a beautiful work of art. An amazing architectural piece of work, both inside and outside. Great stained glass and sculptures. Nice photo opportunities.",6,187,+1 408-283-8100,San Jose,"80 S Market St , San Jose , CA 95113-2303",,,https://www.tripadvisor.com/Attraction_Review-g33020-d157070-Reviews-Cathedral_Basilica_of_St_Joseph-San_Jose_California.html,san_jose.json
Sunnyvale Farmers Market,"Farmers Markets , Shopping , Food & Drink","Lots of fresh everything and free samples, very friendly vendors! Fresh fruits and vegetables, lots to choose from. Also many pastries to choose from along with great fresh French... read more",1,44,5107457100,Sunnyvale,"Murphy Ave , Sunnyvale , CA 94085",,,https://www.tripadvisor.com/Attraction_Review-g33146-d7730238-Reviews-Sunnyvale_Farmers_Market-Sunnyvale_California.html,sunnyvale.json
Central Park,,International swimming center where Mark Spitz trained and Santa Clara Aqua Maids are from. Great meeting places especially the Arts and Wine Festival and the 4th. of July... read more,9,32,+1 408-984-3257,Santa Clara,"909 Kiely Blvd. , Santa Clara , CA 95051",-121.977541797477,37.3421592428651,https://www.tripadvisor.com/Attraction_Review-g33046-d123159-Reviews-Central_Park-Santa_Clara_California.html,santa_clara.json
Plaza de Cesar Chavez Park,,Lots of people here everyday and they have a lot of fun activities as well. Right now they are doing dance lessons and dancing every Thursday....for free! They also host music... read more,25,48,+1 916-808-5200,San Jose,"910 I Street , San Jose , CA 95112",,,https://www.tripadvisor.com/Attraction_Review-g33020-d561247-Reviews-Plaza_de_Cesar_Chavez_Park-San_Jose_California.html,san_jose.json
